"District","Year","Month","AverageEVI","MaxEVI","MinEVI","MedianEVI"
"Murehwa","2012","09",0.173188019651172,0.204080297620008,0.0921043454664969,0.175615729855117
"Mutare","2012","09",0.158345814891889,0.1930095987411,0.0978694847362633,0.161515431931815
"Mutasa","2012","09",0.199185056659072,0.256937794659786,0.0754599995864156,0.205412026195067
"Mutoko","2012","09",0.168668235070305,0.193692482883062,0.104330454942156,0.17493101436728
"Mwenezi","2012","09",0.124511394275924,0.177064235297902,0.0372114746108685,0.140705515589988
"Nkayi","2012","09",0.171487275179214,0.194272353878684,0.132522219129418,0.174561607458774
"Nyanga","2012","09",0.17483440586356,0.213536195096036,0.0936052852018725,0.179204775916006
"Rushinga","2012","09",0.156236779761547,0.185730486149799,0.0943266512148251,0.161202475292253
"Seke","2012","09",0.164353234652804,0.199889572652146,0.104536195178109,0.164633644559325
"Shamva","2012","09",0.17229734612845,0.203016565375378,0.110948820196321,0.177074709456338
"Shurugwi","2012","09",0.171446589085447,0.203206374230121,0.0769508388250807,0.180112139393869
"Tsholotsho","2012","09",0.165088853354448,0.186393942774322,0.109398112417443,0.168527282200721
"Umguza","2012","09",0.155183767576888,0.17720508646685,0.11883826953925,0.156540907009372
"UMP","2012","09",0.166297017029977,0.192216010440037,0.118154740383044,0.172603149962896
"Umzingwane","2012","09",0.144609661803925,0.179663099270471,0.0659651268493621,0.148020775009371
"Wedza","2012","09",0.162636407621705,0.190145046184785,0.093948168428035,0.165668133114157
"Zaka","2012","09",0.142366980992927,0.195403565334609,0.0394553991963918,0.15135116805996
"Zvimba","2012","09",0.153187869847063,0.181458790070066,0.126861570596289,0.15053089146964
"Zvishavane","2012","09",0.145080184600478,0.180010565867985,0.0442755558669464,0.150919604308508
"Beitbridge","2013","03",0.243082221196642,0.410220046001776,0.0915742006850916,0.257746110313604
"Bikita","2013","03",0.320137137287859,0.443229330888644,0.111027559626768,0.34308790201084
"Bindura","2013","03",0.391467348236783,0.557887291920407,0.0837308359365572,0.416791957717988
"Binga","2013","03",0.344705115130841,0.454896368906336,0.237296369315218,0.332281146591148
"Bubi","2013","03",0.323084098238187,0.434862418188746,0.202446893958543,0.315753884002236
"Buhera","2013","03",0.262468977978956,0.344662596081613,0.127488793525236,0.267668830433283
"Bulawayo","2013","03",0.315787764536434,0.43793730418568,0.133685596013384,0.327426837917019
"Bulilima (North)","2013","03",0.304520218267011,0.413101102045587,0.218217588113299,0.288386145755647
"Centenary","2013","03",0.370868543673554,0.514448991439195,0.0414723259724983,0.391463359854222
"Chegutu","2013","03",0.350605510613313,0.457928848953064,0.167504281950532,0.361543624617299
"Chikomba","2013","03",0.315056183125594,0.423511083847843,0.213952457851332,0.308883388114057
"Chimanimani","2013","03",0.34073998196831,0.485580100294503,0.124281300715899,0.347066985908988
"Chipinge","2013","03",0.337864476161261,0.483104643616759,0.0483309086340466,0.363618340719146
"Chiredzi","2013","03",0.304064682893632,0.434298124058135,0.0483715594807492,0.314481568918361
"Chirumhanzu","2013","03",0.30344051616018,0.421636950181638,0.128830860403153,0.307528109989299
"Chivi","2013","03",0.266477938027303,0.387048939201047,0.0119809965526388,0.285128093301486
"Gokwe North","2013","03",0.398640546768377,0.52685559327136,0.232689807310188,0.397637978411049
"Gokwe South","2013","03",0.369130619340327,0.465201627530506,0.221779023161922,0.359740803681773
"Goromonzi","2013","03",0.345547732282157,0.520442182835018,0.0663433488169278,0.363029173750827
"Guruve","2013","03",0.38243623465081,0.510059631084174,0.11834046269739,0.398821967000714
"Gutu","2013","03",0.288383823726422,0.396870029566382,0.137513654339973,0.290272093134937
"Gwanda","2013","03",0.272295314130882,0.425455194276864,0.0792430122205529,0.283124870202468
"Gweru","2013","03",0.31360748997194,0.446956299005115,0.111951280513304,0.310316914371865
"Harare","2013","03",0.303442550045991,0.419246622576949,0.0135616656997455,0.327574418957411
"Hurungwe","2013","03",0.380655578575812,0.509618319112092,0.125941542541895,0.379110489677136
"Hwange","2013","03",0.371322398808832,0.516441747763972,0.241279108520733,0.368318857093835
"Insiza","2013","03",0.287705847164983,0.433195144203968,0.0700174427540817,0.293514230848556
"Kadoma","2013","03",0.362231819450751,0.457704085365471,0.223696806090321,0.356602213267602
"Kariba","2013","03",0.300426204675776,0.406596585991584,0.0713570409494373,0.3084033241646
"Kwekwe","2013","03",0.319703745257625,0.468571745291798,0.169796137430833,0.312915494964619
"Lupane","2013","03",0.348114948996562,0.456296423093787,0.256989173965558,0.339028000730012
"Makonde","2013","03",0.394375070455384,0.527649512363293,0.213671640205882,0.397186001292398
"Makoni","2013","03",0.337064693083635,0.505226263003031,0.172490800939343,0.336188474644307
"Mangwe (South)","2013","03",0.281180996666706,0.38597416161978,0.103504579054604,0.278419529770564
"Marondera","2013","03",0.332364944530747,0.49451152549672,0.143330725631617,0.336035617113066
"Masvingo","2013","03",0.297794336126341,0.428128943687462,0.0297367412702601,0.316353631952818
"Matobo","2013","03",0.277946121668632,0.384980959945058,0.102358737362347,0.277797957262538
"Mazowe","2013","03",0.3661097870317,0.523536475500171,0.0468442181477753,0.402241292929984
"Mberengwa","2013","03",0.283542935265504,0.44316740531928,0.0108063450646259,0.303955685025541
"Mount Darwin","2013","03",0.412948600113401,0.564210548561516,-0.00532374840180987,0.437656360890446
"Mudzi","2013","03",0.3709075135773,0.486636437689565,0.192100573290138,0.378100695951146
"Murehwa","2013","03",0.334766722843925,0.471717524784447,0.117103035799389,0.345263147963863
"Mutare","2013","03",0.308705127907126,0.471544415896693,0.10798564183817,0.333550081713412
"Mutasa","2013","03",0.341029339218412,0.541530881234616,0.0628726553386251,0.3490633517806
"Mutoko","2013","03",0.357658606092555,0.485987993151273,0.183626094690908,0.35693469589873
"Mwenezi","2013","03",0.281804700806137,0.430070310209045,0.0605888885993537,0.287335699631731
"Nkayi","2013","03",0.337073290792856,0.441745165784802,0.211212538432424,0.331294517858481
"Nyanga","2013","03",0.344941486969315,0.520216920586504,0.107392761719541,0.34966568764055
"Rushinga","2013","03",0.40521854282294,0.569277379954121,0.0354661876868593,0.426543710539768
"Seke","2013","03",0.337341869665578,0.481671590172079,0.173718532851489,0.340652279249955
"Shamva","2013","03",0.399867756060769,0.546184312904966,0.124254352051928,0.415185407774392
"Shurugwi","2013","03",0.300496365894993,0.412621704405797,0.0211781343368181,0.313153194829922
"Tsholotsho","2013","03",0.339849538749504,0.448187937342911,0.241708501586482,0.323371929818557
"Umguza","2013","03",0.335368244812963,0.456879149250141,0.211975132656314,0.325437924227637
"UMP","2013","03",0.376433748168354,0.502331947541763,0.151294617084048,0.385298157510593
"Umzingwane","2013","03",0.313742245599443,0.449613126903945,0.0990849984929892,0.318535660508932
"Wedza","2013","03",0.334211719345939,0.48186159677462,0.122948498818257,0.331470949621121
"Zaka","2013","03",0.333287873450995,0.462751386638763,0.0741165060337636,0.351594676694222
"Zvimba","2013","03",0.363453190496225,0.512122904760914,0.0618951958735234,0.381261816572822
"Zvishavane","2013","03",0.290147015089779,0.410202858055295,-0.000393349073793153,0.302337062373578
"Beitbridge","2013","10",0.0880020723193193,0.153149031265878,-0.0645900627832099,0.107686576911862
"Bikita","2013","10",0.175583620511352,0.254087928394769,-0.0905142161035236,0.193905613704352
"Bindura","2013","10",0.149207852859055,0.197905349633152,-0.0981526650374217,0.167089908442396
"Binga","2013","10",0.145514247803989,0.187761109159942,0.0525021121503751,0.152466995689851
"Bubi","2013","10",0.145759257628165,0.17752616713283,0.0222617160680329,0.152430478335475
"Buhera","2013","10",0.136576705235416,0.242926858306872,-0.136769821644918,0.150695678070737
"Bulawayo","2013","10",0.131395515327739,0.16533468199145,0.0219292829797592,0.138856035724197
"Bulilima (North)","2013","10",0.148548516892479,0.175948049374413,0.0825988471406528,0.152626617296333
"Centenary","2013","10",0.157559720491534,0.191704421448469,0.0491694101565831,0.166681200511338
"Chegutu","2013","10",0.144068411297962,0.194386275768703,-0.0820853136098793,0.15945242197408
"Chikomba","2013","10",0.139913611995316,0.23122713100673,-0.13005793651929,0.154231426026058
"Chimanimani","2013","10",0.215698423110312,0.338950645741551,-0.111091597817175,0.241341094122209
"Chipinge","2013","10",0.17645208411577,0.265604365893641,-0.0660349640114198,0.196540266824402
"Chiredzi","2013","10",0.128982082114473,0.195177929535073,-0.0225439830820987,0.134701291546125
"Chirumhanzu","2013","10",0.143063992172878,0.195337726216379,-0.00758512881105311,0.162726346453744
"Chivi","2013","10",0.129912770278287,0.202785218087367,0.0234866476771102,0.145473552922749
"Gokwe North","2013","10",0.146042905736259,0.18894011541002,-0.0866182103534385,0.168643733170569
"Gokwe South","2013","10",0.176587745070368,0.21850504820693,0.060860567890537,0.184449097323385
"Goromonzi","2013","10",0.167206503934762,0.222379852853778,-0.0158228764870732,0.180080313872502
"Guruve","2013","10",0.160162632152978,0.192454259969699,0.0408702451535733,0.170991611285062
"Gutu","2013","10",0.145494397108145,0.218993005853836,-0.100383172327935,0.166731594216834
"Gwanda","2013","10",0.0963517204962559,0.151037465496753,-0.17737823365407,0.122372879769588
"Gweru","2013","10",0.128798439549748,0.171772879428237,-0.0869729665017346,0.14603834519111
"Harare","2013","10",0.168239237127906,0.220778600172827,-0.050637270116519,0.176254672702378
"Hurungwe","2013","10",0.152024672020279,0.197108531828308,-0.0136051776338636,0.163751306362934
"Hwange","2013","10",0.173907410271639,0.207527987951309,0.0753919952529762,0.177538907693721
"Insiza","2013","10",0.118579265491497,0.161608616208583,0.0181651520016862,0.13424457558504
"Kadoma","2013","10",0.144012300571244,0.178628651487204,-0.145076390728789,0.159671450880747
"Kariba","2013","10",0.120017893688177,0.16027091912967,-0.0361730509931338,0.129323341252152
"Kwekwe","2013","10",0.158766760984018,0.195708568343866,0.0348468681190819,0.169125849703783
"Lupane","2013","10",0.17693940328973,0.215827936687734,-0.0365876425216031,0.191898411515826
"Makonde","2013","10",0.153881241157806,0.196856011153625,-0.0407167885493293,0.167301860203934
"Makoni","2013","10",0.166754389994425,0.23468833545764,-0.040275422277847,0.184982112606778
"Mangwe (South)","2013","10",0.126083800967752,0.165187520442202,0.0342836026848777,0.137915902761995
"Marondera","2013","10",0.169015267483953,0.236828392378948,-0.0768214749858895,0.185441633050076
"Masvingo","2013","10",0.139578885152991,0.199364918494318,0.0204606333601644,0.153412567717996
