"District","Type","Year","NDVI"
"Chiredzi","Average","Jun",0.4216119955
"Chivi","Average","Jun",0.349999801366667
"Gutu","Average","Jun",0.349327182033333
"Masvingo","Average","Jun",0.404801635533333
"Mwenezi","Average","Jun",0.3876346486
"Zaka","Average","Jun",0.4088564111
"Chegutu","Average","Jun",0.404989298866667
"Hurungwe","Average","Jun",0.429739168533333
"Kadoma","Average","Jun",0.414777751033333
"Kariba","Average","Jun",0.274496120733333
"Makonde","Average","Jun",0.4602765289
"Zvimba","Average","Jun",0.4143339571
"Harare","Average","Jul",0.332189561516129
"Bulawayo","Average","Jul",0.296501802870968
"Buhera","Average","Jul",0.265244447709677
"Chimanimani","Average","Jul",0.518037387516129
"Chipinge","Average","Jul",0.406638845290323
"Makoni","Average","Jul",0.349193672580645
"Mutare","Average","Jul",0.358265989741935
"Mutasa","Average","Jul",0.520969586967742
"Nyanga","Average","Jul",0.426393139645161
"Bindura","Average","Jul",0.39436969783871
"Guruve","Average","Jul",0.375680294806452
"Mount Darwin","Average","Jul",0.353658601612903
"Mazowe","Average","Jul",0.370341242451613
"Centenary","Average","Jul",0.371611945193548
"Rushinga","Average","Jul",0.357907050612903
"Shamva","Average","Jul",0.412848286419355
"Chikomba","Average","Jul",0.322158303387097
"Goromonzi","Average","Jul",0.368071650806452
"Marondera","Average","Jul",0.348197336193548
"Mudzi","Average","Jul",0.334624025290323
"Mutoko","Average","Jul",0.351278057548387
"Murehwa","Average","Jul",0.365764694290323
"UMP","Average","Jul",0.359304775193548
"Seke","Average","Jul",0.318290092935484
"Wedza","Average","Jul",0.348037291935484
"Chirumhanzu","Average","Jul",0.330086862096774
"Gokwe North","Average","Jul",0.340287572096774
"Gokwe South","Average","Jul",0.352494290129032
"Gweru","Average","Jul",0.329872444870968
"Kwekwe","Average","Jul",0.348007770774194
"Mberengwa","Average","Jul",0.344494128967742
"Shurugwi","Average","Jul",0.337988596741935
"Zvishavane","Average","Jul",0.327394403193548
"Binga","Average","Jul",0.312787630064516
"Bubi","Average","Jul",0.340877101709677
"Hwange","Average","Jul",0.338491724548387
"Lupane","Average","Jul",0.374535533096774
"Nkayi","Average","Jul",0.35742807516129
"Tsholotsho","Average","Jul",0.338179497935484
"Umguza","Average","Jul",0.346607149322581
"Beitbridge","Average","Jul",0.287464425419355
"Bulilima (North)","Average","Jul",0.32071397083871
"Gwanda","Average","Jul",0.307795469612903
"Insiza","Average","Jul",0.316131141709677
"Mangwe (South)","Average","Jul",0.310536547258065
"Matobo","Average","Jul",0.317649499193548
"Umzingwane","Average","Jul",0.336088852645161
"Bikita","Average","Jul",0.34364274683871
"Chiredzi","Average","Jul",0.371608947
"Chivi","Average","Jul",0.315967029516129
"Gutu","Average","Jul",0.303508860096774
"Masvingo","Average","Jul",0.352110747354839
"Mwenezi","Average","Jul",0.346881492032258
"Zaka","Average","Jul",0.365882492354839
"Chegutu","Average","Jul",0.331991172483871
"Hurungwe","Average","Jul",0.370481447032258
"Kadoma","Average","Jul",0.34038095083871
"Kariba","Average","Jul",0.223240825645161
"Makonde","Average","Jul",0.381316054935484
"Zvimba","Average","Jul",0.342860953903226
"Harare","Average","Aug",0.297539079774194
"Bulawayo","Average","Aug",0.266345497258065
"Buhera","Average","Aug",0.242970939806452
"Chimanimani","Average","Aug",0.474070206451613
"Chipinge","Average","Aug",0.375462936612903
"Makoni","Average","Aug",0.309845285225806
"Mutare","Average","Aug",0.318816138903226
"Mutasa","Average","Aug",0.463749306387097
"Nyanga","Average","Aug",0.380875061387097
"Bindura","Average","Aug",0.348283076193548
"Guruve","Average","Aug",0.33204993283871
"Mount Darwin","Average","Aug",0.316016973741935
"Mazowe","Average","Aug",0.330224723225806
"Centenary","Average","Aug",0.328212620516129
"Rushinga","Average","Aug",0.322839604516129
"Shamva","Average","Aug",0.356391623741936
"Chikomba","Average","Aug",0.291109938677419
"Goromonzi","Average","Aug",0.328384516677419
"Marondera","Average","Aug",0.309503858580645
"Mudzi","Average","Aug",0.306564890741935
"Mutoko","Average","Aug",0.313845975129032
"Murehwa","Average","Aug",0.323827799193548
"UMP","Average","Aug",0.321565785258065
"Seke","Average","Aug",0.287359945677419
"Wedza","Average","Aug",0.310402187612903
"Chirumhanzu","Average","Aug",0.300224710645161
"Gokwe North","Average","Aug",0.302892557322581
"Gokwe South","Average","Aug",0.315653417903226
"Gweru","Average","Aug",0.297438679741935
"Kwekwe","Average","Aug",0.313582223935484
"Mberengwa","Average","Aug",0.31007204716129
"Shurugwi","Average","Aug",0.303466913806452
"Zvishavane","Average","Aug",0.295163695645161
"Binga","Average","Aug",0.284496707225806
"Bubi","Average","Aug",0.309122762483871
"Hwange","Average","Aug",0.312566410354839
"Lupane","Average","Aug",0.338989802967742
"Nkayi","Average","Aug",0.319087230419355
"Tsholotsho","Average","Aug",0.307310832516129
"Umguza","Average","Aug",0.311959713032258
"Beitbridge","Average","Aug",0.262367229935484
"Bulilima (North)","Average","Aug",0.284955204064516
"Gwanda","Average","Aug",0.283526271677419
"Insiza","Average","Aug",0.286849945225806
"Mangwe (South)","Average","Aug",0.282119388774194
