"District","YearBegin","MonthBegin","DayBegin","YearEnd","MonthEnd","DayEnd","SoilMoisture"
"Kwekwe","2015","05","17","2015","05","19",3.02909062177604
"Mberengwa","2015","05","17","2015","05","19",2.5281134792865
"Shurugwi","2015","05","17","2015","05","19",3.66741968308572
"Zvishavane","2015","05","17","2015","05","19",2.60065331256281
"Binga","2015","05","17","2015","05","19",4.52550781433292
"Bubi","2015","05","17","2015","05","19",2.7019035427518
"Hwange","2015","05","17","2015","05","19",2.90075368314002
"Lupane","2015","05","17","2015","05","19",2.85862648066994
"Nkayi","2015","05","17","2015","05","19",2.6966515893168
"Tsholotsho","2015","05","17","2015","05","19",2.42198098705207
"Umguza","2015","05","17","2015","05","19",2.63775565886911
"Beitbridge","2015","05","17","2015","05","19",2.27614600759442
"Bulilima (North)","2015","05","17","2015","05","19",2.34046061566686
"Gwanda","2015","05","17","2015","05","19",2.48998465411514
"Insiza","2015","05","17","2015","05","19",3.12277845176872
"Mangwe (South)","2015","05","17","2015","05","19",2.40889355242742
"Matobo","2015","05","17","2015","05","19",2.64508019277711
"Umzingwane","2015","05","17","2015","05","19",2.94899626050865
"Bikita","2015","05","17","2015","05","19",2.85989962500418
"Chiredzi","2015","05","17","2015","05","19",2.41375939094096
"Chivi","2015","05","17","2015","05","19",2.44158494650693
"Gutu","2015","05","17","2015","05","19",4.2352496477307
"Masvingo","2015","05","17","2015","05","19",2.68454100221562
"Mwenezi","2015","05","17","2015","05","19",2.39113280182425
"Zaka","2015","05","17","2015","05","19",2.74289805433447
"Chegutu","2015","05","17","2015","05","19",6.6943069860831
"Hurungwe","2015","05","17","2015","05","19",4.85966580553154
"Kadoma","2015","05","17","2015","05","19",4.72349909542303
"Kariba","2015","05","17","2015","05","19",10.4065491014553
"Makonde","2015","05","17","2015","05","19",4.6891235599028
"Zvimba","2015","05","17","2015","05","19",5.86479670541002
"Harare","2015","05","20","2015","05","22",9.79859072647649
"Bulawayo","2015","05","20","2015","05","22",2.66667268099626
"Buhera","2015","05","20","2015","05","22",3.75436440372061
"Chimanimani","2015","05","20","2015","05","22",7.52356600616885
"Chipinge","2015","05","20","2015","05","22",3.87526131265661
"Makoni","2015","05","20","2015","05","22",5.91319631297027
"Mutare","2015","05","20","2015","05","22",3.82628828041923
"Mutasa","2015","05","20","2015","05","22",5.35223740931335
"Nyanga","2015","05","20","2015","05","22",5.69958189848337
"Bindura","2015","05","20","2015","05","22",4.16174101090231
"Guruve","2015","05","20","2015","05","22",3.57964944237071
"Mount Darwin","2015","05","20","2015","05","22",3.35679730186454
"Mazowe","2015","05","20","2015","05","22",5.6080409821789
"Centenary","2015","05","20","2015","05","22",4.43893414903643
"Rushinga","2015","05","20","2015","05","22",2.78841851384227
"Shamva","2015","05","20","2015","05","22",3.47177378716278
"Chikomba","2015","05","20","2015","05","22",5.7337012991504
"Goromonzi","2015","05","20","2015","05","22",5.93182082973749
"Marondera","2015","05","20","2015","05","22",7.66680818637339
"Mudzi","2015","05","20","2015","05","22",2.95551325265173
"Mutoko","2015","05","20","2015","05","22",2.7807385228834
"Murehwa","2015","05","20","2015","05","22",4.79338352688471
"UMP","2015","05","20","2015","05","22",2.96264947750712
"Seke","2015","05","20","2015","05","22",7.43633348384389
"Wedza","2015","05","20","2015","05","22",5.23668227512205
"Chirumhanzu","2015","05","20","2015","05","22",3.39586112010714
"Gokwe North","2015","05","20","2015","05","22",3.01263862275305
"Gokwe South","2015","05","20","2015","05","22",3.32530683536734
"Gweru","2015","05","20","2015","05","22",3.27285985756019
"Kwekwe","2015","05","20","2015","05","22",2.8078990654074
"Mberengwa","2015","05","20","2015","05","22",2.49541395608995
"Shurugwi","2015","05","20","2015","05","22",3.33762684362582
"Zvishavane","2015","05","20","2015","05","22",2.48359779591877
"Binga","2015","05","20","2015","05","22",4.15125633521061
"Bubi","2015","05","20","2015","05","22",2.63545591136604
"Hwange","2015","05","20","2015","05","22",2.76504838923155
"Lupane","2015","05","20","2015","05","22",2.75510697483366
"Nkayi","2015","05","20","2015","05","22",2.59962269951204
"Tsholotsho","2015","05","20","2015","05","22",2.38889879537748
"Umguza","2015","05","20","2015","05","22",2.63320236248948
"Beitbridge","2015","05","20","2015","05","22",2.27880434067898
"Bulilima (North)","2015","05","20","2015","05","22",2.324452513333
"Gwanda","2015","05","20","2015","05","22",2.48392383645255
"Insiza","2015","05","20","2015","05","22",2.92335544560175
"Mangwe (South)","2015","05","20","2015","05","22",2.38089226193255
"Matobo","2015","05","20","2015","05","22",2.58022571048068
"Umzingwane","2015","05","20","2015","05","22",2.75448396676544
"Bikita","2015","05","20","2015","05","22",2.67567026755198
"Chiredzi","2015","05","20","2015","05","22",2.40593316660175
"Chivi","2015","05","20","2015","05","22",2.39355703514779
"Gutu","2015","05","20","2015","05","22",3.86460321120444
"Masvingo","2015","05","20","2015","05","22",2.56356439182441
"Mwenezi","2015","05","20","2015","05","22",2.3885062392908
"Zaka","2015","05","20","2015","05","22",2.60895547001952
"Chegutu","2015","05","20","2015","05","22",5.98158339135815
"Hurungwe","2015","05","20","2015","05","22",4.41244132553202
"Kadoma","2015","05","20","2015","05","22",4.12422528129382
"Kariba","2015","05","20","2015","05","22",9.83109721102696
"Makonde","2015","05","20","2015","05","22",4.17463766957688
"Zvimba","2015","05","20","2015","05","22",5.19679030383763
"Harare","2015","05","23","2015","05","25",9.30834891435022
"Bulawayo","2015","05","23","2015","05","25",2.57707330351891
"Buhera","2015","05","23","2015","05","25",3.4230372990979
"Chimanimani","2015","05","23","2015","05","25",7.06561028898302
"Chipinge","2015","05","23","2015","05","25",3.71655844653413
"Makoni","2015","05","23","2015","05","25",5.31479696598885
"Mutare","2015","05","23","2015","05","25",3.50812580446701
"Mutasa","2015","05","23","2015","05","25",4.87657645506606
"Nyanga","2015","05","23","2015","05","25",5.33133926626788
"Bindura","2015","05","23","2015","05","25",3.76950092766626
"Guruve","2015","05","23","2015","05","25",3.34953545381546
"Mount Darwin","2015","05","23","2015","05","25",3.15483321867343
"Mazowe","2015","05","23","2015","05","25",5.05363245949997
"Centenary","2015","05","23","2015","05","25",4.01180939364197
"Rushinga","2015","05","23","2015","05","25",2.74257812338178
"Shamva","2015","05","23","2015","05","25",3.25042382508001
"Chikomba","2015","05","23","2015","05","25",5.18440939583769
"Goromonzi","2015","05","23","2015","05","25",5.38359096963704
"Marondera","2015","05","23","2015","05","25",6.96265431552415
"Mudzi","2015","05","23","2015","05","25",2.95223492147919
"Mutoko","2015","05","23","2015","05","25",2.77686825291295
"Murehwa","2015","05","23","2015","05","25",4.23350422863642
"UMP","2015","05","23","2015","05","25",2.91328294039873
"Seke","2015","05","23","2015","05","25",6.85167540602938
"Wedza","2015","05","23","2015","05","25",4.72273871935857
"Chirumhanzu","2015","05","23","2015","05","25",3.1769866733733
"Gokwe North","2015","05","23","2015","05","25",2.72898067197318
"Gokwe South","2015","05","23","2015","05","25",3.12564532180674
"Gweru","2015","05","23","2015","05","25",3.08736311959026
"Kwekwe","2015","05","23","2015","05","25",2.68134806274732
"Mberengwa","2015","05","23","2015","05","25",2.48830670750985
"Shurugwi","2015","05","23","2015","05","25",3.13667055285117
"Zvishavane","2015","05","23","2015","05","25",2.47483908044567
"Binga","2015","05","23","2015","05","25",3.9517943033101
"Bubi","2015","05","23","2015","05","25",2.59227152464901
"Hwange","2015","05","23","2015","05","25",2.74796334214814
"Lupane","2015","05","23","2015","05","25",2.74649850659619
"Nkayi","2015","05","23","2015","05","25",2.5713869669064
"Tsholotsho","2015","05","23","2015","05","25",2.46869656399705
"Umguza","2015","05","23","2015","05","25",2.62881024328771
"Beitbridge","2015","05","23","2015","05","25",2.27892631817227
"Bulilima (North)","2015","05","23","2015","05","25",2.38776524766481
"Gwanda","2015","05","23","2015","05","25",2.47801976380982
"Insiza","2015","05","23","2015","05","25",2.78375574047137
"Mangwe (South)","2015","05","23","2015","05","25",2.38008392851052
"Matobo","2015","05","23","2015","05","25",2.53449029381649
"Umzingwane","2015","05","23","2015","05","25",2.62686424101426
"Bikita","2015","05","23","2015","05","25",2.57793069482303
"Chiredzi","2015","05","23","2015","05","25",2.42762753129359
"Chivi","2015","05","23","2015","05","25",2.3770314058607
"Gutu","2015","05","23","2015","05","25",3.63759089970056
"Masvingo","2015","05","23","2015","05","25",2.5067656220761
"Mwenezi","2015","05","23","2015","05","25",2.3999485116882
"Zaka","2015","05","23","2015","05","25",2.54298758783499
"Chegutu","2015","05","23","2015","05","25",5.44559121206093
"Hurungwe","2015","05","23","2015","05","25",4.09593425075973
