"District","DateBegin","DateEnd","SoilMoisture"
"Mazowe","SM20150523","20150525",5.05363245949997
"Centenary","SM20150523","20150525",4.01180939364197
"Rushinga","SM20150523","20150525",2.74257812338178
"Shamva","SM20150523","20150525",3.25042382508001
"Chikomba","SM20150523","20150525",5.18440939583769
"Goromonzi","SM20150523","20150525",5.38359096963704
"Marondera","SM20150523","20150525",6.96265431552415
"Mudzi","SM20150523","20150525",2.95223492147919
"Mutoko","SM20150523","20150525",2.77686825291295
"Murehwa","SM20150523","20150525",4.23350422863642
"UMP","SM20150523","20150525",2.91328294039873
"Seke","SM20150523","20150525",6.85167540602938
"Wedza","SM20150523","20150525",4.72273871935857
"Chirumhanzu","SM20150523","20150525",3.1769866733733
"Gokwe North","SM20150523","20150525",2.72898067197318
"Gokwe South","SM20150523","20150525",3.12564532180674
"Gweru","SM20150523","20150525",3.08736311959026
"Kwekwe","SM20150523","20150525",2.68134806274732
"Mberengwa","SM20150523","20150525",2.48830670750985
"Shurugwi","SM20150523","20150525",3.13667055285117
"Zvishavane","SM20150523","20150525",2.47483908044567
"Binga","SM20150523","20150525",3.9517943033101
"Bubi","SM20150523","20150525",2.59227152464901
"Hwange","SM20150523","20150525",2.74796334214814
"Lupane","SM20150523","20150525",2.74649850659619
"Nkayi","SM20150523","20150525",2.5713869669064
"Tsholotsho","SM20150523","20150525",2.46869656399705
"Umguza","SM20150523","20150525",2.62881024328771
"Beitbridge","SM20150523","20150525",2.27892631817227
"Bulilima (North)","SM20150523","20150525",2.38776524766481
"Gwanda","SM20150523","20150525",2.47801976380982
"Insiza","SM20150523","20150525",2.78375574047137
"Mangwe (South)","SM20150523","20150525",2.38008392851052
"Matobo","SM20150523","20150525",2.53449029381649
"Umzingwane","SM20150523","20150525",2.62686424101426
"Bikita","SM20150523","20150525",2.57793069482303
"Chiredzi","SM20150523","20150525",2.42762753129359
"Chivi","SM20150523","20150525",2.3770314058607
"Gutu","SM20150523","20150525",3.63759089970056
"Masvingo","SM20150523","20150525",2.5067656220761
"Mwenezi","SM20150523","20150525",2.3999485116882
"Zaka","SM20150523","20150525",2.54298758783499
"Chegutu","SM20150523","20150525",5.44559121206093
"Hurungwe","SM20150523","20150525",4.09593425075973
"Kadoma","SM20150523","20150525",3.74193728975403
"Kariba","SM20150523","20150525",9.44260496830602
"Makonde","SM20150523","20150525",3.82914353886203
"Zvimba","SM20150523","20150525",4.63819137504341
"Harare","SM20150526","20150528",8.65561343589759
"Bulawayo","SM20150526","20150528",2.54423753376087
