"Region","Year","Month","AverageEVI","MaxEVI","MinEVI","MedianEVI"
"IV","2009","03",0.290132393207537,0.435742754466344,0.161648195689807,0.290674927616603
"IV","2009","04",0.311435804553715,0.419112722237793,0.177536468100529,0.314456008129359
"IV","2009","05",0.259044397720026,0.337125523372542,0.177381392614895,0.258014881401876
"IV","2009","06",0.217328640254013,0.28418357757526,0.0846153963254862,0.220162784296235
"IV","2009","07",0.179381123822444,0.231225888650791,0.122447164410777,0.179904721515086
"IV","2009","08",0.17446544704963,0.211162497442632,0.140050456991219,0.172602942182917
"IV","2009","09",0.149464641416609,0.182701457819524,0.0476633237477815,0.154882991718838
"IV","2009","10",0.152603754766547,0.190369578277111,0.0207763378205704,0.163856031663575
"IV","2009","11",0.146630321071714,0.276128537168828,-0.0167500065813044,0.147041432219542
"IV","2009","12",0.272079366650734,0.403006112506513,0.103522798648242,0.29990870323598
"IV","2010","01",0.308121763575326,0.404161771961337,0.110544128387316,0.314032109824317
"IV","2010","02",0.274130374475967,0.394559375830879,0.132466717766323,0.287635958901642
"IV","2010","03",0.311002915095847,0.427153587443309,0.0468900779403925,0.33311645581253
"IV","2010","04",0.278718158122601,0.398564783816084,0.129645015383665,0.285071049323982
"IV","2010","05",0.26563739023377,0.373374731880793,0.102898935494662,0.279662940385424
"IV","2010","06",0.235045157969796,0.31216471151233,0.149257541847704,0.240191236822967
"IV","2010","07",0.192237496649353,0.258978132761934,0.125045492977029,0.193715381531609
"IV","2010","08",0.17627631343858,0.223044614175598,0.136883557818409,0.174555035174155
"IV","2010","09",0.16068302677032,0.187883070797321,0.118222131126778,0.163447449368393
"IV","2010","10",0.151089140931652,0.179928379921933,0.104188231263556,0.157654743424148
"IV","2010","11",0.163622233405242,0.270455298471896,-0.0178549411079226,0.168218263097136
"IV","2010","12",0.265860555055029,0.37923337368836,0.0789852124691436,0.279872308713188
"IV","2011","01",0.265739126602774,0.398872581757862,0.0540258694367916,0.282985668829372
"IV","2011","02",0.343480795749936,0.463088983822523,0.178293796036751,0.342866569813331
"IV","2011","03",0.321760759589339,0.417307415665676,0.233497855728412,0.317087617502714
"IV","2011","04",0.265253629803798,0.380699290224143,0.0684837745005581,0.275856715390967
"IV","2011","05",0.255634348959842,0.328614636140732,0.167370693380702,0.255258586500653
"IV","2011","06",0.212345994888246,0.256712308119747,0.163371903556372,0.212119698546974
"IV","2011","07",0.170174528560169,0.211154461877109,0.122164257840243,0.170022848195329
"IV","2011","08",0.160147564111045,0.196254061001076,0.128458164184294,0.160958646159434
"IV","2011","09",0.153467754171376,0.176944943422631,0.117127518790401,0.154803675812813
"IV","2011","10",0.144993918261638,0.180123199800286,0.0540386361956208,0.152093829587809
"IV","2011","11",0.137001483405816,0.224198876904962,-0.0263696263431461,0.157019269469561
"IV","2011","12",0.238979628467386,0.391015821809353,0.0381597178222458,0.242181805581367
"IV","2012","01",0.315264407646304,0.415518800650847,0.16969910483013,0.318912004389267
