"District","Year","AverageNDVI","MaxNDVI","MinNDVI"
"Bulilima (North)","2019",0.374654494035616,0.568492177,0.260162387
"Bulilima (North)","2020",0.37339151326776,0.563508315,0.258444483
"Bulilima (North)","2021",0.432847772730769,0.642356372,0.286687275
"Centenary","2000",0.434515443827119,0.673054534,0.27907915
"Centenary","2001",0.487993043623907,0.759524814,0.307733706
"Centenary","2002",0.43305515509863,0.689611252,0.278506805
"Centenary","2003",0.427702607879452,0.654808791,0.27673367
"Centenary","2004",0.463775025019126,0.697981398,0.278936406
"Centenary","2005",0.422856544282192,0.664093017,0.265263854
"Centenary","2006",0.479559443309589,0.728206128,0.284065993
"Centenary","2007",0.439325266229282,0.714744328,0.27123636
"Centenary","2008",0.461789646182825,0.687383404,0.293105078
"Centenary","2009",0.487420776567123,0.718155507,0.294635471
"Centenary","2010",0.4568970454,0.725158342,0.281858758
"Centenary","2011",0.456398092624658,0.728635551,0.286818902
"Centenary","2012",0.45154884242623,0.694870254,0.271584527
"Centenary","2013",0.450154550326027,0.749097191,0.29042641
"Centenary","2014",0.463926253646575,0.736002834,0.287529908
"Centenary","2015",0.486599297109589,0.731619459,0.289478789
"Centenary","2016",0.427149576142076,0.65387362,0.270805556
"Centenary","2017",0.516288563564384,0.734318033,0.308355359
"Centenary","2018",0.47107457929589,0.720002728,0.293155857
"Centenary","2019",0.450602354536986,0.719937242,0.282927143
"Centenary","2020",0.442208786084699,0.673642935,0.289672468
"Centenary","2021",0.476773819288462,0.747768293,0.298408119
"Chegutu","2000",0.460525378288136,0.630835957,0.319838785
"Chegutu","2001",0.469187341530726,0.63499083,0.312437571
"Chegutu","2002",0.412543071879452,0.604882896,0.277087974
"Chegutu","2003",0.435987534082192,0.613705517,0.289724146
"Chegutu","2004",0.458912148043716,0.644249886,0.292232126
"Chegutu","2005",0.405581647194521,0.62119658,0.258778737
"Chegutu","2006",0.462629941424658,0.690272787,0.288177559
"Chegutu","2007",0.421852672624658,0.60952491,0.267948448
"Chegutu","2008",0.43479129897541,0.650381753,0.285790871
"Chegutu","2009",0.472807535079452,0.657849251,0.301401614
"Chegutu","2010",0.455359818638356,0.627322224,0.275967961
"Chegutu","2011",0.438586383386301,0.65427646,0.278841731
"Chegutu","2012",0.441750899306011,0.652316154,0.289598816
"Chegutu","2013",0.427751371405479,0.63844236,0.276231219
"Chegutu","2014",0.444102756284932,0.697151559,0.281305513
"Chegutu","2015",0.44277236439726,0.632563731,0.289619189
"Chegutu","2016",0.433158358901639,0.645747877,0.271015937
"Chegutu","2017",0.495064767463014,0.709609291,0.314187415
"Chegutu","2018",0.4686191248,0.665053257,0.304360665
"Chegutu","2019",0.441241941013699,0.691407671,0.280854584
"Chegutu","2020",0.433794719532787,0.644812916,0.279486329
"Chegutu","2021",0.464193002936813,0.706207544,0.304253741
"Chikomba","2000",0.428622018783051,0.580430521,0.30299729
"Chikomba","2001",0.437987102064607,0.58216147,0.303124643
"Chikomba","2002",0.398943574561644,0.573794013,0.291677533
"Chikomba","2003",0.404895078452055,0.543183211,0.291103342
"Chikomba","2004",0.427452566551913,0.577652867,0.299453527
"Chikomba","2005",0.382796360712329,0.547895426,0.265045792
"Chikomba","2006",0.433193125279452,0.597402569,0.297873531
"Chikomba","2007",0.404527772049315,0.559046936,0.272448899
"Chikomba","2008",0.403115187062842,0.597966076,0.295523254
"Chikomba","2009",0.428012155920548,0.587479322,0.291246477
"Chikomba","2010",0.435245767641096,0.573894072,0.285225646
"Chikomba","2011",0.416813953624658,0.609082337,0.281949969
"Chikomba","2012",0.404018312202186,0.564786008,0.28618156
"Chikomba","2013",0.401901183257534,0.55788252,0.282795127
"Chikomba","2014",0.421648582715068,0.604295581,0.293076754
"Chikomba","2015",0.422691014791781,0.568399664,0.310168378
"Chikomba","2016",0.400889906986339,0.557860291,0.284007799
"Chikomba","2017",0.462560284441096,0.641805671,0.313651076
