"","District","YearBegin","MonthBegin","AverageSoilMoisture","MaxSoilMoisture","MinSoilMoisture","AverageIdeal","MaxIdeal","MinIdeal","AverageWet","MaxWet","MinWet","AverageDry","MaxDry","MinDry"
"197","Bindura",2018,"05",34.6468538683935,44.8316221893818,25.4966166284306,0,0,0,1,1,1,0,0,0
"198","Bindura",2018,"06",20.6155573860588,25.0514024530909,17.1644522843198,0,0,0,1,1,1,0,0,0
"199","Bindura",2018,"07",15.8043798491673,16.806242256253,14.4038817502411,0,0,0,1,1,1,0,0,0
"200","Bindura",2018,"08",13.5486020601008,13.9917733112576,13.3545834824699,0,0,0,1,1,1,0,0,0
"201","Bindura",2018,"09",13.4816092005891,13.9146765010142,13.0982900276286,0,0,0,1,1,1,0,0,0
"202","Bindura",2018,"10",14.0843724340631,16.4855668558158,13.0128023108464,0,0,0,1,1,1,0,0,0
"203","Bindura",2018,"11",27.8873652056797,68.1984461645196,15.0753953694579,0,0,0,1,1,1,0,0,0
"204","Bindura",2018,"12",101.758956393868,127.352320346256,61.2160183743638,0,0,0,1,1,1,0,0,0
"205","Bindura",2019,"01",119.571045102411,128.387980395845,92.1231941989374,0,0,0,1,1,1,0,0,0
"206","Bindura",2019,"02",96.2220475021192,119.412136482108,74.4700433081118,0,0,0,1,1,1,0,0,0
"207","Bindura",2019,"03",68.5746513214415,92.1254010106196,55.4660602613666,0,0,0,1,1,1,0,0,0
"208","Bindura",2019,"04",43.5295022831055,56.8476318341678,29.2091097302769,0,0,0,1,1,1,0,0,0
"209","Bindura",2019,"05",23.4810404083519,37.1437684702041,16.1312288410584,0,0,0,1,1,1,0,0,0
"210","Bindura",2019,"06",14.4809120667401,15.5168316744803,13.7658849787827,0,0,0,1,1,1,0,0,0
"211","Bindura",2019,"07",13.3099657692546,13.5469907731281,13.159924086149,0,0,0,1,1,1,0,0,0
"212","Bindura",2019,"08",13.2646646367026,13.6325694481021,12.8799751544393,0,0,0,1,1,1,0,0,0
"213","Bindura",2019,"09",13.0516350411045,13.9787809461285,12.7104662644656,0,0,0,1,1,1,0,0,0
"214","Bindura",2019,"10",13.8414430097945,16.4769665378584,12.4723541126343,0,0,0,1,1,1,0,0,0
"215","Bindura",2019,"11",29.2740599336156,61.9914482804692,12.6359989813271,0,0,0,1,1,1,0,0,0
"216","Bindura",2019,"12",64.0080520642555,101.080396738686,32.7820836004563,0,0,0,1,1,1,0,0,0
"217","Bindura",2020,"01",98.4602899911765,128.362837311074,40.153190821659,0,0,0,1,1,1,0,0,0
"218","Bindura",2020,"02",115.952770451024,128.32342518058,80.0754605090927,0,0,0,1,1,1,0,0,0
"219","Bindura",2020,"03",85.427006638051,119.034022469007,55.9494876168457,0,0,0,1,1,1,0,0,0
"220","Bindura",2020,"04",34.4416229670902,47.828985246289,22.2984402858281,0,0,0,1,1,1,0,0,0
"221","Bindura",2020,"05",15.7686923751628,19.7375587703369,14.3626307420893,0,0,0,1,1,1,0,0,0
"222","Bindura",2020,"06",14.2548962539678,15.031532390556,13.7998980133452,0,0,0,1,1,1,0,0,0
"223","Bindura",2020,"07",13.548349688532,14.5056537367538,13.1982601812239,0,0,0,1,1,1,0,0,0
"224","Bindura",2020,"08",13.081544083304,13.279800073992,12.8298823126185,0,0,0,1,1,1,0,0,0
"225","Bindura",2020,"09",12.5824542111917,12.9922652413772,12.2507585703798,0,0,0,1,1,1,0,0,0
"226","Bindura",2020,"10",17.0406733208544,26.1982490195399,12.2918743191136,0,0,0,1,1,1,0,0,0
"227","Bindura",2020,"11",15.5855568714077,24.2345263605404,12.5527256686373,0,0,0,1,1,1,0,0,0
"228","Bindura",2020,"12",108.305522609293,128.134914270592,42.1334837044751,0,0,0,1,1,1,0,0,0
