district_id,district_name,year,h_k3,a_k3,m0_k3,m1_k3,m2_k3,g0_edu_max_k3,g1_edu_max_k3,g2_edu_max_k3,g0_edu_dropout_k3,g1_edu_dropout_k3,g2_edu_dropout_k3,g0_hea_chronic_k3,g1_hea_chronic_k3,g2_hea_chronic_k3,g0_hea_visit_k3,g1_hea_visit_k3,g2_hea_visit_k3,g0_employment_k3,g0_assets_k3,g1_assets_k3,g2_assets_k3,g0_services_k3,g1_services_k3,g2_services_k3,g0_electricity_k3,g0_cooking_fuel_k3,g0_water_k3,g0_toilet_k3,g0_land_k3,g0_livestock_k3,g0_rural_equip_k3,rain_year,rain_season,soilmoisture_season,soilmoisture_year,maxevi_year,sum10_20,sum20p
25,Hurungwe,2017,0.672441466,0.485221007,0.326282722,0.190706653,0.154145123,0.166525896,0.092156286,0.039612101,0.03518269,0.043236322,0.037894814,0.400322153,0.200161077,0.200161077,0.231065652,0.115532826,0.115532826,0,0.539303048,0.427275886,0.371262305,0.482132996,0.250266384,0.116749113,0.232774684,0.327616279,0.21080856,0.180893267,0.073891786,0,0.219168875,872.2809,846.8773,15.78101,9.520162,0.5404603,1,1
26,Hwange,2017,0.651449082,0.458547905,0.298720608,0.16953969,0.137378439,0.143867892,0.071933946,0.023977983,0,0,0,0.362975721,0.18148786,0.18148786,0.242787534,0.121393767,0.121393767,0.147645809,0.513632149,0.390080199,0.328304224,0.498987198,0.287898613,0.156852159,0.242890418,0.257497249,0.093804496,0.173950811,0.014213205,0,0.14559332,744.5768,676.7055,12.64812,7.706244,0.5562693,2,1
27,Hwedza,2017,0.650031697,0.464849914,0.302167178,0.165089639,0.140329876,0.107981116,0.053990558,0.017996853,0,0,0,0.52126556,0.26063278,0.26063278,0.279637796,0.139818898,0.139818898,0,0.578365231,0.500916881,0.462192706,0.412748944,0.139703183,0.042702129,0.18377835,0.31719529,0.087661364,0.146471275,0.034250512,0,0.201232763,943.0515,946.2212,15.64626,10.09332,0.5181746,1,2
28,Insiza,2017,0.750150677,0.472275973,0.354278143,0.199508646,0.157767184,0.125673804,0.069339894,0.02961629,0.008378119,0.012567178,0.012567178,0.510960761,0.255480381,0.255480381,0.254056425,0.127028213,0.127028213,0,0.620371324,0.478637101,0.407769989,0.664266921,0.295835257,0.12114703,0.187668114,0.358686557,0.217306518,0.200832238,0.07042266,0,0.147018898,823.4476,787.0181,14.97464,8.988583,0.4670119,1,2
29,Kadoma,2017,0.441970008,0.436203646,0.19278893,0.107954386,0.084110152,0.046530455,0.023265228,0.007755076,0.019160785,0.006465244,0.001579852,0.248317677,0.124158839,0.124158839,0.091038441,0.04551922,0.04551922,0.044885256,0.366621159,0.278966484,0.235139147,0.405679748,0.221438233,0.108545767,0.145907027,0.202617368,0.070853891,0.128437785,0.00238566,0,0.059059579,839.0383,887.6791,15.10429,9.400753,0.507046,2,1
30,Kariba,2017,0.649334587,0.55832472,0.362539552,0.196643444,0.154021356,0.237555431,0.121125885,0.042723467,0.023000817,0.0265808,0.022078512,0.534846266,0.267423133,0.267423133,0.245681135,0.122840567,0.122840567,0.04061886,0.597272924,0.479526261,0.42065293,0.550607093,0.238276305,0.091369181,0.306309073,0.311238665,0.17621561,0.229451556,0.027972804,0,0.163355517,949.1428,865.7281,18.81042,13.15313,0.4320639,2,1
31,Kwekwe,2017,0.59686139,0.45703462,0.272786318,0.147308169,0.112829662,0.111192154,0.055596077,0.018532026,0.01289673,0.012664789,0.011328727,0.285740671,0.142870335,0.142870335,0.246840375,0.123420187,0.123420187,0.046887667,0.483294872,0.341884189,0.271178848,0.540948709,0.272408428,0.125899194,0.190681922,0.27718746,0.115069621,0.168027945,0.004541664,0,0.108160231,835.2331,856.6334,13.92527,8.642556,0.4733644,2,1
32,Lupane,2017,0.837217481,0.505984112,0.423618746,0.240245834,0.18638373,0.341069423,0.170534712,0.056844907,0.015817313,0.018614242,0.015547206,0.558052821,0.279026411,0.279026411,0.30846756,0.15423378,0.15423378,0,0.745321044,0.621969754,0.560294109,0.77713732,0.371455874,0.168289097,0.245470734,0.412564362,0.212638603,0.287881135,0.029617062,0,0.090340696,843.0891,795.0863,13.78614,8.294879,0.5141191,3,1
33,Makonde,2017,0.590325116,0.463143413,0.273405189,0.151425682,0.115271824,0.170561857,0.085280929,0.028426978,0.036453775,0.047049063,0.044077658,0.252284341,0.12614217,0.12614217,0.16838782,0.08419391,0.08419391,0.024569958,0.436475214,0.326668355,0.271764926,0.535066101,0.265921049,0.123618406,0.18359626,0.282720911,0.153559312,0.17022583,0.008551213,0,0.174896713,821.143,852.9466,16.38018,9.766592,0.5468322,0,2
34,Makoni,2017,0.666136644,0.476560485,0.317454402,0.175658164,0.140556086,0.168110386,0.084055193,0.028018399,0.00963681,0.011564172,0.009251337,0.321131465,0.160565732,0.160565732,0.202227187,0.101113593,0.101113593,0.004435946,0.644007704,0.551187636,0.504777602,0.571102478,0.213307955,0.073523563,0.186199861,0.326548911,0.1658948,0.14180381,0.021763311,0,0.252954144,991.3381,994.1525,17.16234,10.66886,0.5217349,2,1
35,Mangwe,2017,0.666977381,0.494938619,0.330112864,0.185716309,0.14970918,0.237218826,0.125977758,0.049360933,0,0,0,0.535288639,0.267644319,0.267644319,0.15871035,0.079355175,0.079355175,0.018775269,0.514513788,0.42421741,0.379069221,0.654365561,0.335858525,0.165014,0.306284523,0.321887666,0.129858521,0.123123298,0,0,0.136045783,720.4063,687.6623,11.61872,7.05683,0.4799957,3,2
36,Marondera,2017,0.726938821,0.504298607,0.366594234,0.198667445,0.164702263,0.101931806,0.050965903,0.016988635,0.006032752,0.009049127,0.009049127,0.669010317,0.334505158,0.334505158,0.28166746,0.14083373,0.14083373,0.120505971,0.537646637,0.416244128,0.355542873,0.669272685,0.29221116,0.113944033,0.317788739,0.288649695,0.097602933,0.080078501,0.026327278,0,0.286130464,949.8921,962.5602,17.72322,11.04654,0.5359359,1,2
