"District","Year","AveragePRECIP","MaxPRECIP","MinPRECIP"
"Bulawayo","2004",1.35788552345581,4.08378212761645,0.000855151017372811
"Bulawayo","2005",1.22277849533503,5.40870695301131,0.000192167405825161
"Bulawayo","2006",1.78187016955843,5.60540781500293,0.000569918198781285
"Bulawayo","2007",1.34810059999502,5.89024033897063,0.00198220993121389
"Bulawayo","2008",1.26520322665914,5.03167064926204,0.000353572185307641
"Bulawayo","2009",1.79985888591389,4.82721588588228,0.00456674067319516
"Bulawayo","2010",1.42335638871976,4.46400344886032,0
"Bulawayo","2011",1.55909088213802,5.56536344009287,0
"Bulawayo","2012",0.908390548319976,2.92563042366037,1.23696571799704e-05
"Bulawayo","2013",1.29422486157127,5.70522415357477,0
"Bulawayo","2014",1.68620968063366,6.30487976214465,1.91890410896318e-06
"Bulawayo","2015",0.903000046131271,2.38782099631487,0
"Bulawayo","2016",1.12541499385975,3.54397370026392,0.00195154817229908
"Bulawayo","2017",1.93924954471321,7.94003946687661,0
"Bulawayo","2018",1.1734148072246,4.82340240256459,0
"Bulawayo","2019",0.786589059267235,2.65846504896295,0.0012263798071859
"Bulilima (North)","2000",15.4151291078394,42.7724382500438,0.110213631219299
"Bulilima (North)","2001",22.8134589447152,88.7485855725466,0.301417206887238
"Bulilima (North)","2002",11.0624066874462,37.3493711103119,0.257845584150431
"Bulilima (North)","2003",14.996881740153,38.7591312221744,0.0373759244300862
"Bulilima (North)","2004",20.6280150652375,67.8172503089788,0.040622132836592
"Bulilima (North)","2005",17.3976213952487,72.3254738939159,0.00607932351762268
"Bulilima (North)","2006",25.3556862114763,81.5294149298294,0.0423478208707856
"Bulilima (North)","2007",18.577103147101,75.954693017228,0.0456476940549656
"Bulilima (North)","2008",19.3280576884618,81.3352080536239,0.0342556901909584
"Bulilima (North)","2009",23.1117894351011,70.3269939947946,0.0918843011051078
"Bulilima (North)","2010",18.8963921867078,48.4026738517425,0.000149539191036584
"Bulilima (North)","2011",20.9016990575947,74.2937595367432,0.00657346948630541
"Bulilima (North)","2012",13.7077284374493,52.418939078906,0.000704450015437746
"Bulilima (North)","2013",17.011641962568,73.7134880612878,0.00446920272010103
"Bulilima (North)","2014",22.4163672748094,68.6248445681497,0.00446016046855808
"Bulilima (North)","2015",11.749114197216,31.6819254843336,0.0015857248578886
"Bulilima (North)","2016",16.1434045983173,53.9553752935985,0.0212361825990157
"Bulilima (North)","2017",24.5803368386074,93.9838734917781,0
"Bulilima (North)","2018",17.3094537567756,84.2851397149119,4.37380103725374e-07
"Bulilima (North)","2019",12.6548593504638,66.2484673914956,0.0255069622611022
"Centenary","2000",13.475586123909,51.5189478790643,0.133384733734534
"Centenary","2001",21.1909812651756,76.8078242652556,0.126883179205256
"Centenary","2002",9.72418952687074,32.155095468666,0.0213051671480499
"Centenary","2003",14.6942264320529,59.0726260548129,0.0940294298404422
"Centenary","2004",18.3904168967567,60.2398294303932,0.0163169371516286
"Centenary","2005",12.367171566566,49.2801050005006,0.00476249462711826
"Centenary","2006",15.3865445792499,48.8638057853661,0.00797318787790929
"Centenary","2007",20.2556736160928,75.1647950731071,0.0146600903008862
"Centenary","2008",19.1974775497747,105.167594024247,0.0190035212359148
"Centenary","2009",13.274374195207,52.7613935020625,0.00485658729545927
"Centenary","2010",15.5342152962271,65.2843632830124,0
"Centenary","2011",13.7705410380693,64.4735632750333,0
"Centenary","2012",13.0288298111047,45.1738943174773,0
"Centenary","2013",15.9558700936639,68.1463836383586,2.28410392831874e-05
"Centenary","2014",16.4363039505432,65.398105557409,0
"Centenary","2015",15.6308444332049,85.4308362580982,0
"Centenary","2016",12.4640492972614,45.4104079989826,0
"Centenary","2017",18.8270008844401,71.8015816024705,0
"Centenary","2018",14.9849900465301,78.3684984591662,0
"Centenary","2019",13.6208672221183,41.7538701880212,0.00712713961513466
"Chegutu","2000",20.0280210778439,53.9074953128894,0.0549955446568977
"Chegutu","2001",28.5309525732048,138.674086159818,0.0149660676275744
"Chegutu","2002",11.7727887643782,28.470453557226,0.0228918244119782
"Chegutu","2003",17.0441315986128,46.2561613452201,0.0116478810365259
"Chegutu","2004",21.6023080635117,69.0474388228912,0.0169881556639666
"Chegutu","2005",17.7890691164154,70.5582393479114,0.00577282893028656
"Chegutu","2006",17.7233333841003,62.5881720885342,0.0191218413636485
"Chegutu","2007",22.1416702362881,90.6434447961111,0.0250585320138306
"Chegutu","2008",22.0682279476811,95.0020694258166,0.0170171104562363
"Chegutu","2009",19.5067486956254,53.5032821944531,0.0321641018839371
"Chegutu","2010",18.1676743044485,53.4689943022588,0.00245028825196213
"Chegutu","2011",23.8885788422276,95.8129832389308,6.26958068346093e-05
"Chegutu","2012",17.5767846842358,71.8205433722804,0.00213900301666096
"Chegutu","2013",22.7110222703176,88.1207876370233,0.00214152470403753
"Chegutu","2014",20.658658068769,74.3672290551896,0.0047771383498448
"Chegutu","2015",16.2623200759372,49.858853231049,3.41984344445604e-06
"Chegutu","2016",18.9206445751375,68.343041543984,0
"Chegutu","2017",21.002485208657,80.3271299856551,0.0208316134617894
"Chegutu","2018",20.3448253586512,109.468462914462,0
"Chegutu","2019",13.0745231188259,58.2396611739608,0.0193230845225223
"Chikomba","2000",21.7560025516487,46.4645021485932,0.50399814720988
"Chikomba","2001",34.3743319636851,142.683226691391,0.0561605157981188
